2564MaryLinElementarySchool,1563DavidTHowardMiddleSchool
1664MorningsideElementarySchool,1563DavidTHowardMiddleSchool
0116SpringdaleParkElementarySchool,1563DavidTHowardMiddleSchool
2062TheJohnHopeCharlesWalterHillElementarySchools,1563DavidTHowardMiddleSchool
9999VirginiaHighlandElementarySchool,1563DavidTHowardMiddleSchool
1563DavidTHowardMiddleSchool,4560MidtownHighSchool
0199CentennialPlaceAcademyCharter,4560MidtownHighSchool
