Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2022-1 Data Report
"October 5, 2021 (FTE 2022-1)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","0415 -Atlanta Classical Academy",688,0,54,57,54,54,54,54,62,53,54,57,46,41,48
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",394,0,64,66,66,66,66,66,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",232,0,0,0,0,0,0,0,78,77,77,0,0,0,0
761,"Atlanta Public Schools","1411 -B.E.S.T Academy",247,0,0,0,0,0,0,0,17,22,40,58,50,33,27
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",294,17,41,42,55,47,53,39,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elmentary School",423,31,55,68,61,59,74,75,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",245,21,31,35,43,40,37,38,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1268,0,0,0,0,0,0,0,0,0,0,396,317,299,256
761,"Atlanta Public Schools","5051 -Benteen Elementary School",240,34,31,30,52,34,27,32,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",539,55,85,80,86,81,69,83,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0315 -Booker T. Washington High School",862,0,0,0,0,0,0,0,0,0,0,249,245,187,181
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",493,8,81,84,88,78,79,75,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1413 -Carver High School",477,0,0,0,0,0,0,0,0,0,0,204,101,101,71
761,"Atlanta Public Schools","0196 -Cascade Elementary School",312,16,49,40,46,57,51,53,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",756,0,90,74,87,107,78,101,80,68,71,0,0,0,0
761,"Atlanta Public Schools","0515 -Charles Drew Charter JA/SR Academy",921,0,0,0,0,0,0,0,143,146,139,127,128,118,120
761,"Atlanta Public Schools","2560 -Charles L. Gideons Elementary School",290,21,40,46,50,43,49,41,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0201 -Charles R. Drew Charter School",995,77,146,162,144,156,156,154,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4056 -Cleveland Avenue Elementary School",289,21,47,41,46,53,37,44,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3057 -Continental Colony Elementary School",380,34,49,74,47,60,47,69,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1410 -Corretta Scott King Young Womens' Leadership Academy",312,0,0,0,0,0,0,0,34,51,46,55,46,30,50
761,"Atlanta Public Schools","0173 -Crawford Long Middle School",716,0,0,0,0,0,0,0,224,247,245,0,0,0,0
761,"Atlanta Public Schools","1409 -D. M. Therrell High School",1003,0,0,0,0,0,0,0,0,0,0,385,215,226,177
761,"Atlanta Public Schools","1563 -David T Howard Middle School",1154,0,0,0,0,0,0,0,355,421,378,0,0,0,0
761,"Atlanta Public Schools","0304 -Deerwood Academy ",555,43,92,64,91,75,88,102,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1066 -E. Rivers Elementary School",692,43,95,99,125,114,117,99,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1063 -Emma Hutchinson Elementary School",302,19,42,45,44,46,48,58,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5566 -F. L. Stanton Elementary School",174,12,27,17,29,29,32,28,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0105 -Finch Elementary",315,26,34,52,50,66,37,50,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5567 -Fred A. Toomer Elementary School",482,59,64,78,79,68,74,60,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4058 -Frederick Douglass High School",1182,0,0,0,0,0,0,0,0,0,0,520,271,233,158
761,"Atlanta Public Schools","0106 -G.W. Carver High School Early College",515,0,0,0,0,0,0,0,0,0,0,148,136,109,122
761,"Atlanta Public Schools","1560 -Garden Hills Elementary School",453,40,61,74,66,74,66,72,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0403 -Hank Aaron New Beginnings Academy",9,0,0,0,0,0,0,0,0,1,2,3,1,1,1
761,"Atlanta Public Schools","1421 -Harper-Archer Elementary School",668,45,106,89,99,108,116,105,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0103 -Heritage Academy Elementary School",401,21,52,64,66,56,67,75,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0100 -Herman J. Russell West End Academy",370,0,0,0,0,0,0,0,122,122,126,0,0,0,0
761,"Atlanta Public Schools","0207 -Hillside Conant School",46,0,0,0,0,0,0,2,1,6,9,9,9,8,2
761,"Atlanta Public Schools","2563 -Jackson Elementary School",493,40,73,68,78,87,76,71,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0282 -Jean Childs Young Middle School",809,0,0,0,0,0,0,0,216,276,317,0,0,0,0
761,"Atlanta Public Schools","1418 -John Lewis Invictus Academy",875,0,0,0,0,0,0,0,260,296,319,0,0,0,0
761,"Atlanta Public Schools","0104 -John Wesley Dobbs Elementary School",368,20,58,50,54,58,64,64,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5562 -Joseph Humphries Elementary School",221,21,23,38,33,30,43,33,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0288 -Judson Price Middle School",362,0,0,0,0,0,0,0,126,114,122,0,0,0,0
761,"Atlanta Public Schools","1422 -KIPP Soul Academy",242,0,0,0,0,0,0,38,99,105,0,0,0,0,0
761,"Atlanta Public Schools","1419 -KIPP Soul Primary",371,0,89,86,93,103,0,0,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0213 -KIPP Strive Primary Charter School",516,0,106,107,105,101,97,0,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0122 -KIPP VISION Charter School",395,0,0,0,0,0,0,96,104,97,98,0,0,0,0
761,"Atlanta Public Schools","0214 -KIPP Vision Primary Charter School",493,0,109,98,103,92,91,0,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0605 -KIPP WAYS Academy Charter School",382,0,0,0,0,0,0,97,92,103,90,0,0,0,0
761,"Atlanta Public Schools","1417 -Kindezi Old 4th Ward",434,0,41,53,54,55,49,53,47,41,41,0,0,0,0
761,"Atlanta Public Schools","0212 -Kipp Atlanta Collegiate Charter School",803,0,0,0,0,0,0,0,0,0,0,202,215,199,187
761,"Atlanta Public Schools","0115 -Kipp Strive Charter School",388,0,0,0,0,0,0,93,100,100,95,0,0,0,0
761,"Atlanta Public Schools","0215 -Kipp WAYS Primary Charter School",469,0,94,99,89,96,91,0,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1064 -L. O. Kimberly Elementary School",316,20,48,45,50,50,44,59,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4063 -M. A. Jones Elementary School",465,36,75,64,80,67,74,69,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0373 -Martin L. King Jr. Middle School",796,0,0,0,0,0,0,0,256,286,254,0,0,0,0
761,"Atlanta Public Schools","2564 -Mary Lin Elementary School",634,0,97,116,117,102,103,99,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0186 -Maynard Jackson High School",1494,0,0,0,0,0,0,0,0,0,0,481,379,311,323
761,"Atlanta Public Schools","1414 -Michael R. Hollis Innovation Academy",739,31,57,76,83,64,81,83,83,98,83,0,0,0,0
761,"Atlanta Public Schools","4560 -Midtown High School",1545,0,0,0,0,0,0,0,0,0,0,467,359,381,338
761,"Atlanta Public Schools","0513 -Miles Elementary School",495,30,78,79,79,67,78,84,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1664 -Morningside Elementary School",809,0,134,131,157,142,133,112,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2053 -Morris Brandon Elementary School",819,22,127,146,144,144,135,101,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0192 -North Atlanta High School",2218,0,0,0,0,0,0,0,0,0,0,639,549,559,471
761,"Atlanta Public Schools","0101 -Parkside Elementary School",563,52,105,104,95,63,69,75,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5558 -Paul L. Dunbar Elementary School",306,19,49,42,35,66,50,45,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3065 -Peyton Forest Elementary School",411,30,54,64,73,64,66,60,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3559 -R. N. Fickett Elementary School",473,23,66,79,84,63,75,83,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0180 -Ralph Bunche Middle School",877,0,0,0,0,0,0,0,275,288,314,0,0,0,0
761,"Atlanta Public Schools","1567 -Sara Rawson Smith Elementary School",803,21,123,142,131,126,128,132,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1412 -South Atlanta High School",857,0,0,0,0,0,0,0,0,0,0,312,176,208,161
761,"Atlanta Public Schools","0116 -Springdale Park Elementary School",722,0,126,119,133,111,127,106,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0188 -Sylvan Hills Middle School",483,0,0,0,0,0,0,0,154,165,164,0,0,0,0
761,"Atlanta Public Schools","0296 -T. J. Perkerson Elementary School",361,40,59,50,50,58,60,44,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2062 -The John Hope-Charles Walter Hill Elementary Schools",386,44,73,65,60,61,36,47,0,0,0,0,0,0,0
