Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2011-1 Data Report
"Oct 5, 2010 (FTE 2011-1)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","2050 -Adamsville Elementary School",357,18,54,56,43,62,57,67,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",369,0,64,63,63,60,60,59,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",197,0,0,0,0,0,0,0,75,72,50,0,0,0,0
761,"Atlanta Public Schools","0117 -Atlanta Preparatory Academy",400,0,74,71,61,60,54,34,46,0,0,0,0,0,0
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",287,0,44,47,51,45,50,50,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elmentary School",370,15,47,57,59,66,55,71,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",346,39,52,58,49,53,57,38,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1518,0,0,0,0,0,0,0,0,0,0,483,386,280,369
761,"Atlanta Public Schools","5051 -Benteen Elementary School",231,0,44,42,31,48,37,29,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1052 -Bethune Elementary School",334,0,48,51,60,56,71,48,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",479,20,91,94,83,69,59,63,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0113 -Booker T. Washington - Early College Small School",154,0,0,0,0,0,0,0,0,0,0,100,54,0,0
761,"Atlanta Public Schools","0112 -Booker T. Washington High School - Banking  Finance and Investment Small Sc",221,0,0,0,0,0,0,0,0,0,0,141,80,0,0
761,"Atlanta Public Schools","0114 -Booker T. Washington High School - Health  Sciences and Nutrition Small Sch",216,0,0,0,0,0,0,0,0,0,0,151,65,0,0
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",262,51,36,34,36,36,38,31,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5054 -Capitol View Elementary School",257,0,41,42,37,41,56,40,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0196 -Cascade Elementary School",412,0,73,72,66,68,66,67,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",452,0,79,77,92,75,69,60,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2560 -Charles L. Gideons Elementary School",591,55,101,83,83,83,98,88,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0201 -Charles R. Drew Charter School",827,42,83,91,74,86,83,83,95,93,97,0,0,0,0
761,"Atlanta Public Schools","4056 -Cleveland Avenue Elementary School",349,18,66,49,55,63,54,44,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5056 -Coan Middle School",319,0,0,0,0,0,0,0,102,109,108,0,0,0,0
761,"Atlanta Public Schools","2057 -Connally Elementary School",472,20,65,69,70,89,78,81,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3057 -Continental Colony Elementary School",351,16,55,58,62,58,65,37,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4057 -Cook Elementary School",339,28,56,47,46,58,57,47,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0120 -Coretta Scott King Young Women's Academy Middle School - C",544,0,0,0,0,0,0,0,184,194,166,0,0,0,0
761,"Atlanta Public Schools","0173 -Crawford Long Middle School",601,0,0,0,0,0,0,0,203,211,187,0,0,0,0
761,"Atlanta Public Schools","2664 -Crim High School",560,0,0,0,0,0,0,0,0,0,31,103,114,119,193
761,"Atlanta Public Schools","1563 -David T Howard Middle School",872,0,0,0,0,0,0,0,304,305,263,0,0,0,0
761,"Atlanta Public Schools","0304 -Deerwood Academy ",673,20,100,105,106,110,112,120,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1066 -E. Rivers Elementary School",580,10,110,107,93,91,92,77,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2059 -East Lake Elementary School",232,18,32,29,39,41,36,37,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1063 -Emma Hutchinson Elementary School",475,38,74,84,59,82,70,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5566 -F. L. Stanton Elementary School",278,0,43,37,40,60,44,54,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3059 -Fain Elementary School",435,0,81,85,73,77,68,51,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0105 -Finch Elementary",480,0,80,92,75,78,77,78,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5567 -Fred A. Toomer Elementary School",225,54,34,31,29,35,16,26,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4058 -Frederick Douglass High School",1284,0,0,0,0,0,0,0,0,0,0,378,335,316,255
761,"Atlanta Public Schools","0106 -G.W. Carver High School Early College",345,0,0,0,0,0,0,0,0,0,0,124,79,64,78
761,"Atlanta Public Schools","1560 -Garden Hills Elementary School",700,3,154,138,116,108,95,86,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5560 -Grove Park Elementary School",378,17,44,59,64,54,64,76,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0403 -Hank Aaron New Beginnings Academy",201,0,0,0,0,0,0,0,0,26,51,110,13,1,0
761,"Atlanta Public Schools","0504 -Harper-Archer Middle School",591,0,0,0,0,0,0,0,176,202,213,0,0,0,0
761,"Atlanta Public Schools","0103 -Heritage Academy Elementary School",436,18,75,78,64,69,76,56,0,0,0,0,0,0,0
