Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2012-1 Data Report
"Oct 4, 2011 (FTE 2012-1)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","2050 -Adamsville Elementary School",381,22,65,51,56,64,68,55,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",392,0,64,66,66,66,64,66,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",225,0,0,0,0,0,0,0,75,75,75,0,0,0,0
761,"Atlanta Public Schools","0117 -Atlanta Preparatory Academy",441,0,63,73,69,49,53,49,40,45,0,0,0,0,0
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",272,2,44,57,46,39,31,53,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elmentary School",357,24,61,49,55,58,57,53,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",328,44,48,49,48,48,53,38,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1429,0,0,0,0,0,0,0,0,0,0,516,325,311,277
761,"Atlanta Public Schools","5051 -Benteen Elementary School",186,0,41,25,28,31,33,28,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1052 -Bethune Elementary School",339,1,76,50,49,48,50,65,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",506,31,112,101,72,72,65,53,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0113 -Booker T. Washington - Early College Small School",196,0,0,0,0,0,0,0,0,0,0,78,70,48,0
761,"Atlanta Public Schools","0112 -Booker T. Washington High School - Banking  Finance and Investment Small Sc",258,0,0,0,0,0,0,0,0,0,0,118,85,55,0
761,"Atlanta Public Schools","0114 -Booker T. Washington High School - Health  Sciences and Nutrition Small Sch",329,0,0,0,0,0,0,0,0,0,0,173,120,36,0
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",322,62,58,44,28,44,46,40,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5054 -Capitol View Elementary School",237,1,44,29,38,37,35,53,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0196 -Cascade Elementary School",345,2,70,54,57,47,54,61,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",464,0,84,78,76,94,69,63,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2560 -Charles L. Gideons Elementary School",535,62,81,88,68,85,73,78,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0201 -Charles R. Drew Charter School",882,64,91,84,94,82,99,80,101,95,92,0,0,0,0
761,"Atlanta Public Schools","4056 -Cleveland Avenue Elementary School",320,22,48,59,52,41,54,44,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5056 -Coan Middle School",305,0,0,0,0,0,0,0,93,105,107,0,0,0,0
761,"Atlanta Public Schools","2057 -Connally Elementary School",487,26,75,72,80,67,89,78,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3057 -Continental Colony Elementary School",405,24,77,55,57,63,61,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4057 -Cook Elementary School",343,26,62,63,39,45,59,49,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0120 -Coretta Scott King Young Women's Academy Middle School - C",487,0,0,0,0,0,0,0,167,155,165,0,0,0,0
761,"Atlanta Public Schools","0173 -Crawford Long Middle School",578,0,0,0,0,0,0,0,169,195,214,0,0,0,0
761,"Atlanta Public Schools","2664 -Crim High School",441,0,0,0,0,0,0,0,0,0,0,54,112,128,147
761,"Atlanta Public Schools","1563 -David T Howard Middle School",860,0,0,0,0,0,0,0,280,294,286,0,0,0,0
761,"Atlanta Public Schools","0304 -Deerwood Academy ",644,23,100,107,104,101,111,98,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1066 -E. Rivers Elementary School",635,1,128,123,96,91,102,94,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2059 -East Lake Elementary School",219,19,26,31,44,41,27,31,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1063 -Emma Hutchinson Elementary School",414,36,69,58,62,60,76,53,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5566 -F. L. Stanton Elementary School",267,1,46,40,43,41,58,38,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3059 -Fain Elementary School",402,1,65,76,69,68,64,59,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0105 -Finch Elementary",467,6,90,74,82,77,68,70,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5567 -Fred A. Toomer Elementary School",271,72,58,34,25,29,33,20,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4058 -Frederick Douglass High School",1024,0,0,0,0,0,0,0,0,0,0,349,248,235,192
761,"Atlanta Public Schools","0106 -G.W. Carver High School Early College",328,0,0,0,0,0,0,0,0,0,0,83,103,75,67
761,"Atlanta Public Schools","1560 -Garden Hills Elementary School",696,2,141,141,107,114,101,90,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5560 -Grove Park Elementary School",364,20,50,51,52,71,59,61,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0403 -Hank Aaron New Beginnings Academy",252,0,0,0,0,0,0,0,1,21,49,135,35,11,0
761,"Atlanta Public Schools","0504 -Harper-Archer Middle School",546,0,0,0,0,0,0,0,179,157,210,0,0,0,0
761,"Atlanta Public Schools","0103 -Heritage Academy Elementary School",469,23,89,71,88,70,67,61,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0100 -Herman J. Russell West End Academy",636,0,0,0,0,0,0,0,204,221,211,0,0,0,0
761,"Atlanta Public Schools","0203 -Herndon Elementary ",231,0,40,43,39,37,45,27,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0207 -Hillside Conant School",70,0,0,0,4,3,7,5,7,6,11,14,9,2,2
761,"Atlanta Public Schools","0124 -Intown Charter Academy",284,0,68,43,29,36,25,25,28,30,0,0,0,0,0
761,"Atlanta Public Schools","2563 -Jackson Elementary School",949,3,162,150,162,175,151,146,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0282 -Jean Childs Young Middle School",762,0,0,0,0,0,0,0,275,250,237,0,0,0,0
761,"Atlanta Public Schools","0104 -John Wesley Dobbs Elementary School",580,23,100,95,91,97,97,77,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5562 -Joseph Humphries Elementary School",378,16,59,62,64,66,56,55,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0288 -Judson Price Middle School",598,0,0,0,0,0,0,0,190,200,208,0,0,0,0
761,"Atlanta Public Schools","0122 -KIPP VISION Charter School",179,0,0,0,0,0,0,83,96,0,0,0,0,0,0
761,"Atlanta Public Schools","0605 -KIPP WAYS Academy Charter School",336,0,0,0,0,0,0,84,89,75,88,0,0,0,0
761,"Atlanta Public Schools","5563 -Kennedy Middle School",319,12,0,0,0,0,0,0,98,98,111,0,0,0,0
761,"Atlanta Public Schools","0212 -Kipp Atlanta Collegiate Charter School",130,0,0,0,0,0,0,0,0,0,0,130,0,0,0
761,"Atlanta Public Schools","0115 -Kipp Strive Charter School",264,0,0,0,0,0,0,95,87,82,0,0,0,0,0
761,"Atlanta Public Schools","1064 -L. O. Kimberly Elementary School",468,32,75,69,71,70,63,88,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4063 -M. A. Jones Elementary School",600,28,99,109,86,77,119,82,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0373 -Martin L. King Jr. Middle School",559,0,0,0,0,0,0,0,164,186,209,0,0,0,0
761,"Atlanta Public Schools","2564 -Mary Lin Elementary School",593,1,119,113,111,84,89,76,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0186 -Maynard Jackson High School",791,0,0,0,0,0,0,0,0,0,0,333,201,139,118
761,"Atlanta Public Schools","4560 -Midtown High School",1464,0,0,0,0,0,0,0,0,0,0,347,377,370,370
761,"Atlanta Public Schools","0204 -Miles Elementary School",404,33,61,67,58,48,64,73,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1664 -Morningside Elementary School",769,1,128,129,150,121,121,119,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2053 -Morris Brandon Elementary School",1195,3,212,233,199,193,196,159,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0192 -North Atlanta High School",1313,0,0,0,0,0,0,0,0,0,0,520,352,276,165
761,"Atlanta Public Schools","0121 -Old Coretta Scott King Young Women's Academy High School",217,0,0,0,0,0,0,0,0,0,0,143,74,0,0
761,"Atlanta Public Schools","5664 -Parks Middle School",383,0,0,0,0,0,0,0,98,144,141,0,0,0,0
761,"Atlanta Public Schools","0101 -Parkside Elementary School",536,81,95,65,82,78,67,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5558 -Paul L. Dunbar Elementary School",385,23,77,69,55,50,51,60,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3065 -Peyton Forest Elementary School",449,1,58,84,72,76,73,85,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3559 -R. N. Fickett Elementary School",626,24,98,97,99,96,107,105,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0180 -Ralph Bunche Middle School",820,0,0,0,0,0,0,0,242,288,290,0,0,0,0
761,"Atlanta Public Schools","1567 -Sara Rawson Smith Elementary School",1095,17,193,202,188,182,163,150,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0406 -School of Health Sciences and Research at Carver",388,0,0,0,0,0,0,0,0,0,0,137,86,89,76
761,"Atlanta Public Schools","0306 -School of Technology at Carver",279,0,0,0,0,0,0,0,0,0,0,44,96,64,75
761,"Atlanta Public Schools","0208 -South Atlanta Law and Social Justice School",345,0,0,0,0,0,0,0,0,0,0,156,86,57,46
761,"Atlanta Public Schools","0408 -South Atlanta School of Computer Animation and Design",349,0,0,0,0,0,0,0,0,0,0,141,82,78,48
761,"Atlanta Public Schools","0108 -South Atlanta School of Health and Medical Science",347,0,0,0,0,0,0,0,0,0,0,141,76,68,62
761,"Atlanta Public Schools","0116 -Springdale Park Elementary School",541,1,102,111,102,82,79,64,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0188 -Sylvan Hills Middle School",409,0,0,0,0,0,0,0,147,121,141,0,0,0,0
761,"Atlanta Public Schools","0296 -T. J. Perkerson Elementary School",369,20,59,62,59,49,64,56,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0205 -Tech High School",206,0,0,0,0,0,0,0,0,0,0,102,46,36,22
761,"Atlanta Public Schools","0118 -The Best Academy High School at Benjamin S. Carson",192,0,0,0,0,0,0,0,0,0,0,118,74,0,0
761,"Atlanta Public Schools","1408 -The Best Academy at Benjamin S. Carson",482,0,0,0,0,0,0,0,167,164,151,0,0,0,0
761,"Atlanta Public Schools","2062 -The John Hope-Charles Walter Hill Elementary Schools",310,3,57,56,41,52,55,46,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0123 -The Kindezi School",120,0,24,24,25,23,24,0,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0506 -The School of the Arts at Carver",332,0,0,0,0,0,0,0,0,0,0,103,81,84,64
