Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2014-3 Data Report
"March 6, 2014 (FTE 2014-3)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","0413 -Adamsville Primary School",406,35,128,134,109,0,0,0,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",429,0,72,72,70,71,72,72,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",231,0,0,0,0,0,0,0,78,79,74,0,0,0,0
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",256,31,36,41,44,46,29,29,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elmentary School",425,23,62,74,72,63,74,57,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",364,41,65,45,64,58,47,44,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1543,0,0,0,0,0,0,0,0,0,0,634,349,274,286
761,"Atlanta Public Schools","5051 -Benteen Elementary School",289,20,56,51,48,36,39,39,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1052 -Bethune Elementary School",515,22,91,92,84,76,82,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",645,50,118,108,109,100,89,71,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0113 -Booker T. Washington - Early College Small School",234,0,0,0,0,0,0,0,0,0,0,85,46,46,57
761,"Atlanta Public Schools","0112 -Booker T. Washington High School - Banking  Finance and Investment Small Sc",264,0,0,0,0,0,0,0,0,0,0,77,80,40,67
761,"Atlanta Public Schools","0114 -Booker T. Washington High School - Health  Sciences and Nutrition Small Sch",323,0,0,0,0,0,0,0,0,0,0,124,72,68,59
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",344,51,63,60,55,43,34,38,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0196 -Cascade Elementary School",427,21,78,78,79,59,57,55,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",519,3,81,100,92,90,73,80,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2560 -Charles L. Gideons Elementary School",570,26,82,98,91,100,81,92,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0201 -Charles R. Drew Charter School",1281,88,150,151,126,126,116,107,120,105,99,93,0,0,0
761,"Atlanta Public Schools","4056 -Cleveland Avenue Elementary School",362,31,58,62,61,60,58,32,0,0,0,0,0,0,0
