Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2018-3 Data Report
"March 1, 2018 (FTE 2018-3)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","0415 -Atlanta Classical Academy",615,0,55,54,55,54,54,54,54,53,54,45,49,34,0
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",403,0,64,66,66,66,69,72,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",232,0,0,0,0,0,0,0,78,78,76,0,0,0,0
761,"Atlanta Public Schools","1411 -B.E.S.T Academy",377,0,0,0,0,0,0,0,45,57,47,61,55,57,55
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",276,20,46,57,30,44,35,44,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elmentary School",434,19,61,82,58,81,70,63,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",331,22,52,54,47,51,57,48,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1451,0,0,0,0,0,0,0,0,0,0,441,336,296,378
761,"Atlanta Public Schools","5051 -Benteen Elementary School",298,20,44,40,46,53,47,48,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",586,69,72,90,92,88,91,84,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0315 -Booker T. Washington High School",676,0,0,0,0,0,0,0,0,0,0,200,164,157,155
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",477,85,73,70,66,61,60,62,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1413 -Carver High School",544,0,0,0,0,0,0,0,0,0,0,159,159,104,122
761,"Atlanta Public Schools","0196 -Cascade Elementary School",437,19,65,76,78,71,57,71,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",840,0,94,106,103,109,92,100,92,74,70,0,0,0,0
761,"Atlanta Public Schools","0515 -Charles Drew Charter JA/SR Academy",754,0,0,0,0,0,0,0,129,132,120,120,94,84,75
761,"Atlanta Public Schools","2560 -Charles L. Gideons Elementary School",360,22,65,52,59,55,67,40,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0201 -Charles R. Drew Charter School",984,88,153,155,153,155,140,140,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4056 -Cleveland Avenue Elementary School",340,22,43,55,56,51,51,62,0,0,0,0,0,0,0
